ts,file,count,severity,volume_m3,cost_inr,location
2026-04-25T09:54:34,usb_20260425_095434.jpg,0,None,0,0,"18.441908,73.8312265"
2026-04-25T09:55:37,usb_20260425_095537.jpg,0,None,0,0,"18.441908,73.8312265"
2026-04-25T09:55:43,usb_20260425_095543.jpg,0,None,0,0,"18.441908,73.8312265"
2026-04-25T09:55:53,usb_20260425_095553.jpg,0,None,0,0,"18.441908,73.8312265"
2026-04-25T09:56:03,usb_20260425_095603.jpg,0,None,0,0,"18.441908,73.8312265"
2026-04-25T09:56:10,usb_20260425_095610.jpg,0,None,0,0,"18.441908,73.8312265"
2026-04-25T09:56:14,usb_20260425_095614.jpg,0,None,0,0,"18.441908,73.8312265"
2026-04-25T09:57:12,usb_20260425_095712.jpg,0,None,0,0,Not provided
2026-04-25T09:57:22,usb_20260425_095722.jpg,0,None,0,0,Not provided
2026-04-25T09:57:26,usb_20260425_095726.jpg,0,None,0,0,Not provided
2026-04-25T09:57:30,usb_20260425_095730.jpg,0,None,0,0,Not provided
2026-04-25T10:00:26,pothole_2.jpeg,1,Critical,0.12264,7960,Not provided
2026-04-25T10:04:41,pothole_2.jpeg,1,Critical,0.12264,7960,Not provided
2026-04-25T10:08:14,pothole_2.jpeg,1,Critical,0.12264,7960,Not provided
2026-04-25T10:20:22,live_20260425_102022.jpg,1,Medium,0.00888,1087,Not provided
2026-04-25T10:20:35,live_20260425_102035.jpg,1,Low,0.00116,620,Not provided
2026-04-25T10:20:37,live_20260425_102037.jpg,1,Low,0.00128,627,Not provided
2026-04-25T10:20:40,live_20260425_102040.jpg,1,Low,0.00109,616,Not provided
2026-04-25T10:20:42,live_20260425_102042.jpg,1,Low,0.0011,616,Not provided
2026-04-25T10:20:45,live_20260425_102045.jpg,1,Low,0.00123,624,Not provided
2026-04-25T10:20:47,live_20260425_102047.jpg,1,Low,0.00116,620,Not provided
2026-04-25T10:20:50,live_20260425_102050.jpg,1,Low,0.00141,635,Not provided
2026-04-25T10:20:52,live_20260425_102052.jpg,1,Low,0.00126,626,Not provided
2026-04-25T10:20:55,live_20260425_102055.jpg,1,Low,0.00118,621,Not provided
2026-04-25T10:20:57,live_20260425_102057.jpg,1,Low,0.00089,604,Not provided
2026-04-25T10:21:00,live_20260425_102100.jpg,1,Low,0.00109,616,Not provided
2026-04-25T10:21:02,live_20260425_102102.jpg,1,Low,0.00084,601,Not provided
2026-04-25T10:21:42,live_20260425_102142.jpg,1,Medium,0.00832,1054,Not provided
2026-04-25T10:22:20,live_20260425_102220.jpg,1,Low,0.00037,572,Not provided
2026-04-25T10:22:22,live_20260425_102222.jpg,1,Low,0.00054,583,Not provided
2026-04-25T10:22:25,live_20260425_102225.jpg,1,Low,0.00014,558,Not provided
2026-04-25T10:22:27,live_20260425_102227.jpg,1,Low,0.00034,571,Not provided
2026-04-25T10:22:37,live_20260425_102237.jpg,1,Low,0.00029,568,Not provided
2026-04-25T10:22:40,live_20260425_102240.jpg,1,Low,0.00026,566,Not provided
2026-04-25T10:22:42,live_20260425_102242.jpg,1,Low,0.00026,566,Not provided
2026-04-25T10:22:45,live_20260425_102245.jpg,1,Low,0.00026,566,Not provided
2026-04-25T10:29:12,live_20260425_102912.jpg,6,Critical,0.00489,846,Not provided
2026-04-25T10:29:15,live_20260425_102915.jpg,3,High,0.00332,752,Not provided
2026-04-25T10:29:17,live_20260425_102917.jpg,4,High,0.00515,862,Not provided
2026-04-25T10:29:49,live_20260425_102949.jpg,4,High,0.00278,719,Not provided
2026-04-25T10:29:52,live_20260425_102952.jpg,3,High,0.00583,903,Not provided
2026-04-25T10:29:54,live_20260425_102954.jpg,6,Critical,0.00503,855,Not provided
2026-04-25T10:29:57,live_20260425_102957.jpg,2,Medium,0.00794,1032,Not provided
2026-04-25T10:29:59,live_20260425_102959.jpg,6,Critical,0.00941,1120,Not provided
2026-04-25T11:20:22,live_20260425_112022.jpg,1,Low,0.00075,595,Not provided
2026-04-25T11:20:32,live_20260425_112032.jpg,2,Medium,0.0099,1150,Not provided
2026-04-25T11:20:34,live_20260425_112034.jpg,1,Low,0.00168,652,Not provided
2026-04-25T11:20:37,live_20260425_112037.jpg,3,High,0.00654,946,Not provided
2026-04-25T11:20:39,live_20260425_112039.jpg,3,High,0.00807,1039,Not provided
2026-04-25T11:21:29,live_20260425_112129.jpg,1,Low,0.00084,601,Not provided
2026-04-25T11:21:32,live_20260425_112132.jpg,1,Low,0.00067,591,Not provided
2026-04-25T12:14:26,live_20260425_121426.jpg,1,Low,0.0021,677,Not provided
2026-04-25T12:14:31,live_20260425_121431.jpg,1,Low,0.00081,599,Not provided
2026-04-25T12:14:39,live_20260425_121439.jpg,2,Medium,0.00617,923,Not provided
2026-04-25T12:14:46,live_20260425_121446.jpg,1,Low,0.00026,566,Not provided
2026-04-25T12:14:49,live_20260425_121449.jpg,2,High,0.01683,1568,Not provided
2026-04-25T12:14:51,live_20260425_121451.jpg,2,Medium,0.00199,670,Not provided
2026-04-25T12:15:01,live_20260425_121501.jpg,1,Low,0.00072,593,Not provided
2026-05-04T14:13:59,usb_20260504_141359.jpg,0,None,0,0,"18.442015265911753,73.83198605232332"
2026-05-04T14:14:24,usb_20260504_141424.jpg,2,Medium,0.00107,615,"18.442015265911753,73.83198605232332"
2026-05-04T14:14:30,usb_20260504_141430.jpg,0,None,0,0,"18.442015265911753,73.83198605232332"
2026-05-04T14:15:05,live_20260504_141505.jpg,1,Low,0.00064,588,"18.442015265911753,73.83198605232332"
2026-05-04T14:15:07,live_20260504_141507.jpg,2,Medium,0.00183,661,"18.442015265911753,73.83198605232332"
